Name	Gene Models	Total pep	Novel Pep	PDB	CDB	TDB	GDB	ASP	DSP	IP	Chromosome	3UTR	5UTR	Novel	Desc
LOC_Os01g01689	2	2	0	2	0	0	0	0	0	0	1	0	0	0	protein phosphatidylinositol 3- and 4-kinase family protein, expressed
LOC_Os01g03520	1	2	0	2	0	0	0	0	0	0	1	0	0	0	protein ubiquitin conjugating enzyme protein, putative, expressed
LOC_Os01g04650	1	11	0	11	0	0	0	0	0	0	1	0	0	0	protein PB1 domain containing protein, expressed
LOC_Os01g05010	1	6	0	6	0	0	0	0	0	0	1	0	0	0	protein mitochondrial glycoprotein, putative, expressed
LOC_Os01g05470	1	5	0	5	0	0	0	0	0	0	1	0	0	0	protein transcription factor X1, putative, expressed
LOC_Os01g05490	2	18	0	18	0	0	0	0	0	0	1	0	0	0	protein triosephosphate isomerase, cytosolic, putative, expressed
LOC_Os01g08970	2	2	0	2	0	0	0	0	0	0	1	0	0	0	protein SSRP1-like FACT complex subunit, putative, expressed
LOC_Os01g09510	2	5	1	4	1	0	0	0	0	0	1	0	0	0	protein 60S acidic ribosomal protein, putative, expressed
LOC_Os01g10820	1	8	0	8	0	0	0	0	0	0	1	0	0	0	protein ribosomal protein L5, putative, expressed
LOC_Os01g12660	1	4	0	4	0	0	0	0	0	0	1	0	0	0	protein AAA-type ATPase family protein, putative, expressed
LOC_Os01g13080	1	6	0	6	0	0	0	0	0	0	1	0	0	0	protein 60S acidic ribosomal protein, putative, expressed
LOC_Os01g13160	1	5	0	5	0	0	0	0	0	0	1	0	0	0	protein expressed protein
LOC_Os01g14690	7	2	0	2	0	0	0	0	0	0	1	0	0	0	protein Lg106, putative, expressed
LOC_Os01g15010	1	8	0	8	0	0	0	0	0	0	1	0	0	0	protein miro, putative, expressed
LOC_Os01g16110	2	5	0	5	0	0	0	0	0	0	1	0	0	0	protein la domain containing protein, putative, expressed
LOC_Os01g16146	1	4	0	4	0	0	0	0	0	0	1	0	0	0	protein phenazine biosynthesis protein, putative, expressed
LOC_Os01g62310	1	2	0	2	0	0	0	0	0	0	1	0	0	0	protein homeobox domain containing protein, expressed
LOC_Os01g62650	2	8	0	8	0	0	0	0	0	0	1	0	0	0	protein pumilio-family RNA binding protein, putative, expressed
LOC_Os02g48180	1	12	0	12	0	0	0	0	0	0	2	0	0	0	protein OsDegp2 - Putative Deg protease homologue, expressed
LOC_Os02g48360	2	9	0	9	0	0	0	0	0	0	2	0	0	0	protein pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit alpha, putative, expressed
LOC_Os02g55940	1	4	0	4	0	0	0	0	0	0	2	0	0	0	protein ribosomal protein S15 containing protein, expressed
LOC_Os02g56480	1	9	0	9	0	0	0	0	0	0	2	0	0	0	protein PB1 domain containing protein, expressed
LOC_Os03g12360	2	3	0	3	0	0	0	0	0	0	3	0	0	0	protein trehalose-6-phosphate synthase, putative, expressed
LOC_Os03g12510	1	11	0	11	0	0	0	0	0	0	3	0	0	0	protein non-symbiotic hemoglobin 2, putative, expressed
LOC_Os03g29190	2	4	0	4	0	0	0	0	0	0	3	0	0	0	protein PDI, putative, expressed
LOC_Os03g31134	1	4	0	4	0	0	0	0	0	0	3	0	0	0	protein retrotransposon protein, putative, Ty1-copia subclass
LOC_Os03g63430	2	10	0	10	0	0	0	0	0	0	3	0	0	0	protein proteasome subunit, putative, expressed
LOC_Os01g16240	1	6	0	6	0	0	0	0	0	0	1	0	0	0	protein OsCam1-3 - Calmodulin, expressed
LOC_Os01g16430	1	7	0	7	0	0	0	0	0	0	1	0	0	0	protein cysteine proteinase inhibitor precursor protein, putative, expressed
LOC_Os01g16960	2	15	1	14	1	0	0	0	0	1	1	0	0	1	protein pyruvate kinase, putative, expressed
LOC_Os01g17320	1	11	0	11	0	0	0	0	0	0	1	0	0	0	protein PPR repeat domain containing protein, putative, expressed
LOC_Os01g18050	1	11	0	11	0	0	0	0	0	0	1	0	0	0	protein tubulin/FtsZ domain containing protein, putative, expressed
LOC_Os01g22010	4	10	0	10	0	0	0	0	0	0	1	0	0	0	protein S-adenosylmethionine synthetase, putative, expressed
LOC_Os01g25610	1	5	0	5	0	0	0	0	0	0	1	0	0	0	protein 40S ribosomal protein S4, putative, expressed
LOC_Os01g27730	1	6	0	6	0	0	0	0	0	0	1	0	0	0	protein GTPase of unknown function domain containing protein, putative, expressed
LOC_Os01g27990	2	3	0	3	0	0	0	0	0	0	1	0	0	0	protein NPL4, putative, expressed
