GeneName	SampleID
LOC_Os01g01060	2
LOC_Os01g03500	2
LOC_Os01g03840	2
LOC_Os01g05060	2
LOC_Os01g06270	2
LOC_Os01g07260	2
LOC_Os01g07350	2
LOC_Os01g07880	2
LOC_Os01g08430	2
LOC_Os01g08760	2
LOC_Os01g08960	2
LOC_Os01g09280	2
LOC_Os01g09570	2
LOC_Os01g09620	2
LOC_Os01g10610	2
LOC_Os01g10690	2
LOC_Os01g11040	2
LOC_Os01g11580	2
LOC_Os01g11920	2
LOC_Os01g11960	2
LOC_Os01g12480	2
LOC_Os01g12870	2
LOC_Os01g12880	2
LOC_Os01g13530	2
LOC_Os01g14440	2
LOC_Os01g14860	2
LOC_Os01g14920	2
LOC_Os01g15260	2
LOC_Os01g15460	2
LOC_Os01g16310	2
LOC_Os01g16330	2
LOC_Os01g19490	2
LOC_Os01g19760	2
LOC_Os01g20940	2
LOC_Os01g21590	2
LOC_Os01g21960	2
LOC_Os01g23590	2
LOC_Os01g31360	2
LOC_Os01g32660	2
LOC_Os01g32870	2
LOC_Os01g32964	2
LOC_Os01g33030	2
LOC_Os01g34330	2
LOC_Os01g35050	2
LOC_Os01g37790	2
LOC_Os01g40050	2
LOC_Os01g40070	2
LOC_Os01g40480	2
LOC_Os01g40590	2
LOC_Os01g40750	2
LOC_Os01g40990	2
LOC_Os01g42250	2
LOC_Os01g42700	2
LOC_Os01g42830	2
LOC_Os01g43050	2
LOC_Os01g43060	2
LOC_Os01g43330	2
LOC_Os01g43750	2
LOC_Os01g44310	2
LOC_Os01g45550	2
LOC_Os01g46580	2
LOC_Os01g46710	2
LOC_Os01g48180	2
LOC_Os01g48210	2
LOC_Os01g48720	2
LOC_Os01g49200	2
LOC_Os01g50320	2
LOC_Os01g51010	2
LOC_Os01g51390	2
LOC_Os01g51640	2
LOC_Os01g53560	2
LOC_Os01g55490	2
LOC_Os01g55730	2
LOC_Os01g56100	2
LOC_Os01g58870	2
LOC_Os01g59670	2
LOC_Os01g59850	2
LOC_Os01g61430	2
LOC_Os01g61590	2
LOC_Os01g61780	2
LOC_Os01g61860	2
LOC_Os01g61930	2
LOC_Os01g62810	2
LOC_Os01g63250	2
LOC_Os01g63940	2
LOC_Os01g63950	2
LOC_Os01g64000	2
LOC_Os01g64280	2
LOC_Os01g64970	2
LOC_Os01g65100	2
LOC_Os01g65230	2
LOC_Os01g65330	2
LOC_Os01g66130	2
LOC_Os01g66140	2
LOC_Os01g66520	2
LOC_Os01g67170	2
LOC_Os01g67250	2
LOC_Os01g68860	2
LOC_Os01g69980	2
LOC_Os01g70160	2
LOC_Os01g70320	2
LOC_Os01g70330	2
LOC_Os01g71970	2
LOC_Os01g72320	2
LOC_Os01g72790	2
LOC_Os01g72980	2
LOC_Os01g74030	2
LOC_Os02g01020	2
LOC_Os02g01230	2
LOC_Os02g01490	2
LOC_Os02g01960	2
LOC_Os02g02360	2
LOC_Os02g02570	2
LOC_Os02g02690	2
LOC_Os02g02740	2
LOC_Os02g03040	2
LOC_Os02g03820	2
LOC_Os02g04450	2
LOC_Os02g05450	2
LOC_Os02g05620	2
LOC_Os02g05840	2
LOC_Os02g06920	2
LOC_Os02g07070	2
LOC_Os02g07960	2
LOC_Os02g08018	2
LOC_Os02g08350	2
LOC_Os02g09740	2
LOC_Os02g09920	2
LOC_Os02g10220	2
LOC_Os02g10650	2
LOC_Os02g11060	2
LOC_Os02g12360	2
LOC_Os02g12794	2
LOC_Os02g13170	2
LOC_Os02g14130	2
LOC_Os02g15220	2
LOC_Os02g16600	2
LOC_Os02g16620	2
LOC_Os02g17320	2
LOC_Os02g19150	2
LOC_Os02g19220	2
LOC_Os02g19804	2
LOC_Os02g21080	2
LOC_Os02g22370	2
LOC_Os02g22650	2
LOC_Os02g25580	2
LOC_Os02g30230	2
LOC_Os02g32340	2
LOC_Os02g32550	2
LOC_Os02g33180	2
LOC_Os02g33490	2
LOC_Os02g33610	2
LOC_Os02g33770	2
LOC_Os02g34500	2
LOC_Os02g34590	2
LOC_Os02g34680	2
LOC_Os02g35130	2
LOC_Os02g35190	2
LOC_Os02g35910	2
LOC_Os02g37030	2
LOC_Os02g37080	2
LOC_Os02g37920	2
LOC_Os02g38050	2
LOC_Os02g38250	2
LOC_Os02g38480	2
LOC_Os02g38980	2
LOC_Os02g39030	2
LOC_Os02g39050	2
LOC_Os02g39520	2
LOC_Os02g39890	2
LOC_Os02g41800	2
LOC_Os02g41990	2
LOC_Os02g42540	2
LOC_Os02g42580	2
LOC_Os02g43370	2
LOC_Os02g43870	2
LOC_Os02g44690	2
LOC_Os02g44740	2
LOC_Os02g44930	2
LOC_Os02g46090	2
LOC_Os02g46956	2
LOC_Os02g47220	2
LOC_Os02g47410	2
LOC_Os02g47860	2
LOC_Os02g47890	2
LOC_Os02g48000	2
LOC_Os02g48640	2
LOC_Os02g49080	2
LOC_Os02g49450	2
LOC_Os02g49590	2
LOC_Os02g49620	2
LOC_Os02g50230	2
LOC_Os02g50550	2
LOC_Os02g50700	2
LOC_Os02g50840	2
LOC_Os02g50850	2
LOC_Os02g50880	2
LOC_Os02g50910	2
LOC_Os02g50960	2
LOC_Os02g51400	2
LOC_Os02g51490	2
LOC_Os02g52820	2
